Priority,Code,Name,Entries,Description
2_HIGH,"GT064","DuplicatedEntitySets",374,"Two different instances of the class EntitySet that have the same content"
2_HIGH,"GT070","ReactionsWithoutRegulatorWithMoreCompartmentsThanItsParticipants",2028,"Reactions without regulator with more compartments than its participants"
2_HIGH,"GT071","ReactionsWithOnlyOneInputAndOutputWhereSchemaClassDoNotMatch",56,"Reactions with only one input and output where schemaClass do not match"
2_HIGH,"GT090","CatalystActivityCompartmentDoesNotMatchReactionCompartment",147,"CatalystActivity class instances where the compartment slot does not match with the associated Reaction compartment"
2_HIGH,"GT091","ReactionsWithoutLiteratureReference",14,"Reactions with no LiteratureReference class instances in any of the possible locations for it"
2_HIGH,"GT092","PotentialTranslocationReactionChangesParticipantsSchemaClass",0,"Potential translocation Reaction changes participants schemaClass"
2_HIGH,"GT100","DiseasePathwayWithoutNormalPathwayOrNormalPathwayHasNoDiagram",0,"Disease Pathway instances without normalPathway or NormalPathway has no diagram"
3_MEDIUM,"GT001","DatabaseObjectsWithSelfLoops",12,"The instance contains itself in any of the slots"
3_MEDIUM,"GT020","OpenSetsWithoutReferenceEntity",0,"OpenSet class instances where the referenceEntity slot is empty"
3_MEDIUM,"GT023","DatabaseIdentifierWithoutReferenceDatabase",0,"DatabaseIdentifier class instances where the referenceDatabase slot is empty"
3_MEDIUM,"GT025","EntriesWithCyclicInferredToRelations",12,"When DatabaseObjec class instance (A) is used to infer another instance (B), if A is used in any slot of B then both instances are reported"
3_MEDIUM,"GT026","EventsWithCyclicPrecedingEvents",1974,"When an Event class instance (A) contains another instance (B) in the precedingEvent slot and A is used in any slot of B then both instances are reported"
3_MEDIUM,"GT027","EntriesWithOtherCyclicRelations",0,"Same concept as the two above but checking for other slots (and not focusing only in Events)"
3_MEDIUM,"GT030","PhysicalEntitiesWithMoreThanOneCompartment",11,"PhysicalEntity class instances where the compartment slot contains more than one Compartment class instance"
3_MEDIUM,"GT031","CatalystActivityWherePhysicalEntityAndActiveUnitPointToComplex",0,"CatalystActivity class instances where the activity and activeUnit slots point to the same Complex class instance"
3_MEDIUM,"GT032","PrecedingEventOrReverseReactionOrHasEventPointToSameEntry",2,"PrecedingEvent or ReverseReaction or HasEvent point to same Event instance"
3_MEDIUM,"GT035","CrossReferenceRelationshipDuplication",0,"DatabaseObject class instances where the crossReference slot contains duplicated entries"
3_MEDIUM,"GT039","PrecedingEventRelationshipDuplication",0,"DatabaseObject class instances where the precedingEvent slot contains duplicated entries"
3_MEDIUM,"GT041","SummationRelationshipDuplication",0,"DatabaseObject class instances where the summation slot contains duplicated entries"
3_MEDIUM,"GT042","PsiModRelationshipDuplication",0,"DatabaseObject class instances where the psiMod slot contains duplicated entries"
3_MEDIUM,"GT047","OrphanEvents",1193,"Events that cannot be reached trhough the events hierarchy"
3_MEDIUM,"GT051","PersonsWithSameORCIDAndProject",0,"Different instances of the Person class with the same ORCID identifier (and project)"
3_MEDIUM,"GT053","PrecedingEventOutputsNotUsedInReaction",837,"ReactionLikeEvent (A) annotated as preceding of another one (B) where none outputs or A are present as input, catalyst or regulator of B"
3_MEDIUM,"GT061","EntitySetsWithOnlyOneMember",3,"EntitySet class instances (excluding CandidateSet and OpenSet) that has only one entry in the hasMember slot"
3_MEDIUM,"GT065","EntitySetsWithRepeatedMembers",0,"EntitySet class instances (excluding CandidateSet) where the same PhysicalEntity class instance is used more than once in the hasMember slot"
4_LOW,"GT002","PersonWithoutProperName",0,"Surname is empty or the Firstname and the Initial are also empty"
4_LOW,"GT014","InstanceEditWithoutAuthor",143,"InstanceEdit class instances where the author slot is empty"
4_LOW,"GT018","DatabaseObjectsWithoutCreated",4631,"DatabaseObject class instances (excluding InstanceEdit, DatabaseIdentifier, Taxon, Person and ReferenceEntity class instances) where the created slot is empty"
4_LOW,"GT033","OtherRelationsThatPointToTheSameEntry",0,"Other relations that point to the same entry"
4_LOW,"GT034","ModifiedRelationshipDuplication",0,"DatabaseObject class instances where the modified slot contains duplicated entries"
4_LOW,"GT045","OtherRelationshipDuplication",0,"DatabaseObject class instances with duplicated instances in a multivalued slot (omitting the relationships where duplicates are allowed)"
4_LOW,"GT048","InstanceEditCreatesInstanceEdit",2716,"InstanceEdit class instances that are created by other InstanceEdit class instances (it does not seem to make sense)"
4_LOW,"GT049","InstanceEditModifiesInstanceEdit",3354,"InstanceEdit class intances that are modified by other InstanceEdit class intances (it does not seem to make sense)"
4_LOW,"GT052","PersonsWithSameNameAndProject",0,"Different instances of the Person class with the same name and project"
